 1,        1, 100.00%,   0.52
 1,       10,  30.00%,   3.67
 1,      100,  33.00%,   9.97
 1,     1000,  30.30%,   9.59
 1,    10000,  30.24%,  15.22
 1,   100000,  29.51%,  22.16
 1,   500000,  29.46%,  22.19
 1,  1000000,  29.40%,  21.62
 2,        1, 100.00%,   0.26
 2,       10,  50.00%,   2.47
 2,      100,  32.00%,  11.58
 2,     1000,  31.00%,  19.94
 2,    10000,  29.80%,  18.61
 2,   100000,  29.53%,  26.32
 2,   500000,  29.37%,  41.99
 2,  1000000,  29.36%,  42.14
 4,        1,   0.00%,   0.25
 4,       10,  20.00%,   1.77
 4,      100,  33.00%,  15.95
 4,     1000,  28.30%,  35.98
 4,    10000,  29.26%,  37.39
 4,   100000,  29.40%,  44.76
 4,   500000,  29.35%,  83.76
 4,  1000000,  29.40%,  78.70
 6,        1, 100.00%,   0.24
 6,       10,  50.00%,   2.54
 6,      100,  35.00%,  16.96
 6,     1000,  31.50%,  52.00
 6,    10000,  29.28%,  51.20
 6,   100000,  29.21%,  58.87
 6,   500000,  29.29%,  94.37
 6,  1000000,  29.36%,  92.16
 8,        1,   0.00%,   0.25
 8,       10,  30.00%,   2.16
 8,      100,  31.00%,  22.17
 8,     1000,  32.10%,  61.37
 8,    10000,  30.19%,  69.62
 8,   100000,  29.50%,  73.53
 8,   500000,  29.37%, 115.46
 8,  1000000,  29.38%, 149.35
12,        1,   0.00%,   0.15
12,       10,  20.00%,   1.83
12,      100,  21.00%,  14.31
12,     1000,  25.80%,  54.87
12,    10000,  29.63%, 103.59
12,   100000,  29.45%,  82.37
12,   500000,  29.42%, 148.68
12,  1000000,  29.42%, 191.31
16,        1,   0.00%,   0.11
16,       10,  40.00%,   1.17
16,      100,  38.00%,  11.53
16,     1000,  31.60%,  59.27
16,    10000,  29.51%,  93.25
16,   100000,  29.41%, 136.11
16,   500000,  29.31%, 177.93
16,  1000000,  29.38%, 230.03
20,        1,   0.00%,   0.12
20,       10,  50.00%,   1.22
20,      100,  30.00%,  10.30
20,     1000,  29.60%,  61.31
20,    10000,  28.92%, 109.73
20,   100000,  29.25%, 125.99
20,   500000,  29.41%, 156.52
20,  1000000,  29.44%, 218.48
24,        1,   0.00%,   0.11
24,       10,  10.00%,   0.88
24,      100,  27.00%,   9.19
24,     1000,  30.20%,  58.17
24,    10000,  29.68%, 131.60
24,   100000,  29.05%, 140.60
24,   500000,  29.29%, 181.60
24,  1000000,  29.35%, 229.54
32,        1,   0.00%,   0.09
32,       10,  40.00%,   0.00
32,      100,  28.00%,   9.22
32,     1000,  27.90%,  61.30
32,    10000,  30.02%, 165.50
32,   100000,  29.36%, 185.49
32,   500000,  29.37%, 215.93
32,  1000000,  29.38%, 273.08
